"gene","moduleMembership","GS.trait","moduleName"
"Adnp",0.803888290749115,0.44550237238399,"brown"
"Ankrd11",0.826234482450964,0.354754224953029,"brown"
"Ankrd12",0.822105593222367,0.47528461970142,"brown"
"Arid4b",0.82960566665892,0.484245748259989,"brown"
"Baz1a",0.879242673395482,0.500354729500115,"brown"
"Baz2a",0.831088009536772,0.435426107610108,"brown"
"Birc6",0.832084392881322,0.222137222089819,"brown"
"Ccdc146",0.802377833324671,0.27999781711584,"brown"
"Ccdc168",0.903146005580549,0.450863079534411,"brown"
"Ccdc88a",0.925634480038484,0.416663664255413,"brown"
"Cenpe",0.900695505702311,0.347240288504863,"brown"
"Cenpf",0.863633931637327,0.4630792385292,"brown"
"Cfap65",0.807891455521072,0.469559154045326,"brown"
"Crebbp",0.874868449475785,0.471485442679811,"brown"
"Dnajc13",0.818299073905825,0.212814419913704,"brown"
"Elfn2",0.845961606996034,0.584384547160218,"brown"
"Ep400",0.841496261065339,0.554251949495329,"brown"
"Ggnbp2",0.831534082633631,0.436301675329368,"brown"
"Golga4",0.827900919632999,0.373875985829021,"brown"
"Golgb1",0.86260780104286,0.397875367449367,"brown"
"Herc1",0.843938977016486,0.268311644031262,"brown"
"Herc2",0.801093478577448,0.333353051039577,"brown"
"LOC102554142",0.825878956117294,0.419816286173908,"brown"
"LOC102554281",0.815986942379843,0.486800131517528,"brown"
"LOC103690087",0.86086341739409,0.407003875457003,"brown"
"LOC103692893",0.807845082170613,0.406361612682369,"brown"
"LOC108349497",0.851031239006787,0.366067155470922,"brown"
"LOC120093678",0.836126557028065,0.359719384990719,"brown"
"LOC120097118",0.840052489412556,0.54822598070822,"brown"
"LOC120098818",0.849476685482348,0.562623534545501,"brown"
"LOC120099858",0.814469062685839,0.470687335019627,"brown"
"LOC120099961",0.883332719900631,0.200401218589856,"brown"
"LOC120102266",0.82709755133218,0.420834068720939,"brown"
"Lrriq1",0.865989740873112,0.308368366729109,"brown"
"Macf1",0.873377115771119,0.239167722813368,"brown"
"Myo9a",0.836495336649804,0.2539958660703,"brown"
"Nipbl",0.842423883074487,0.410694902325535,"brown"
"Nktr",0.910784537003761,0.437793667037825,"brown"
"Phf20l1",0.809045355698881,0.369832417806686,"brown"
"Phip",0.841265028086773,0.251030182934447,"brown"
"Prpf4b",0.817123694466841,0.440755703247524,"brown"
"Rad50",0.835193281397647,0.363018311722205,"brown"
"Setd2",0.843435008126734,0.397235990569397,"brown"
"Setx",0.859487913876631,0.417165715515435,"brown"
"Srek1",0.862829774852249,0.42535094199276,"brown"
"Srsf11",0.813131138133143,0.368317467363439,"brown"
"Strbp",0.801734811320259,0.474220540583234,"brown"
"Sycp2",0.8115618934027,0.45637724666805,"brown"
"Syne2",0.873980643589979,0.393992953667719,"brown"
"Thoc2l",0.865363757983136,0.359951163653356,"brown"
"Tpr",0.864664430328634,0.315318871372256,"brown"
"Tra2a",0.817011481457916,0.457818265425153,"brown"
"Ttn",0.831190507397525,0.336968774987151,"brown"
"Ubn2",0.878121898484693,0.558250070349916,"brown"
"Ubr5",0.834987998756351,0.492558308162873,"brown"
"Upf2",0.851720276762822,0.501871601864358,"brown"
"Vps13a",0.875725393878901,0.269064076174484,"brown"
"Zan",0.819026729350365,0.517262612714602,"brown"
"Zfp318",0.827340406396682,0.475741119419528,"brown"
"__no_feature",0.869101442360427,0.468703928596766,"brown"
"1700012A03Rikl",0.836913307053336,-0.294482298747272,"blue"
"Acot7",0.878000638646775,-0.254440146338304,"blue"
"Actl11",0.812446148974457,-0.382273154133618,"blue"
"Actl7b",0.863696879335613,-0.207348534048838,"blue"
"Ankrd9",0.916187602855038,-0.33684484355502,"blue"
"Aqp11",0.836099175599557,-0.52741908198819,"blue"
"Armc12",0.809025982164167,-0.348860726590291,"blue"
"Atl3",0.883084836501124,-0.453117345040633,"blue"
"Atp5f1d",0.871902915056766,-0.377660021161995,"blue"
"Atp8b3",0.833550769524884,-0.285565452726646,"blue"
"Azin2",0.916807648898841,-0.37881149883437,"blue"
"Bag6",0.841714042571916,-0.456097400568876,"blue"
"Bcl7c",0.922637012457059,-0.290445467522821,"blue"
"C3h9orf50",0.865724402279947,-0.348625175441609,"blue"
"C4h2orf81",0.888418274696444,-0.250718663752287,"blue"
"Capzb",0.836757764483223,-0.367152169479505,"blue"
"Cby2",0.845392934817597,-0.272477299499949,"blue"
"Cby3",0.859788013081131,-0.313510154381987,"blue"
"Ccdc124",0.83538411991472,-0.249465545894175,"blue"
"Cdc34",0.850752073500241,-0.261481384847872,"blue"
"Cdk16",0.881394645092333,-0.423156690807107,"blue"
"Cimap1b",0.898085498755285,-0.260789716315612,"blue"
"Cimip1",0.920506843938337,-0.308900128553914,"blue"
